ordinal,serialized_path,parameter_group,owner_dataclass,field_name,type_annotation,json_type,value_shape,unit,required,default_kind,default_source,default_value_json,repeatable_entity_paths,repeatable_depth,accepted_by_parser,emitted_by_serializer,parser,parser_handling,serializer,serializer_handling,accepted_via_template_parser,accepted_template_source_path,template_alias_required,template_parser,template_parser_handling,template_parser_source_file,template_parser_source_line,contract_scope,runtime_consumer_trace,source_file,source_line
57,design.trajectory.azimuth_end_deg,trajectory,TrajectorySpec,azimuth_end_deg,float,number,scalar,degrees,false,literal_or_constant,0.0,0.0,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,184
58,design.trajectory.elevation_deg,trajectory,TrajectorySpec,elevation_deg,float,number,scalar,degrees,false,literal_or_constant,0.0,0.0,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,185
59,design.trajectory.padding_pre_s,trajectory,TrajectorySpec,padding_pre_s,float,number,scalar,s,false,literal_or_constant,0.5,0.5,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,186
60,design.trajectory.padding_post_s,trajectory,TrajectorySpec,padding_post_s,float,number,scalar,s,false,literal_or_constant,0.5,0.5,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,187
61,design.trajectory.sample_rate,trajectory,TrajectorySpec,sample_rate,int,integer,scalar,Hz,false,literal_or_constant,44100,44100,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,188
62,design.trajectory.use_inverse_square,trajectory,TrajectorySpec,use_inverse_square,bool,boolean,scalar,,false,literal_or_constant,True,true,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,TrajectorySpec(**trajectory_data); coordinate_mode may be inferred for Cartesian coordinates,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,189
63,design.protocol.repetitions_per_condition,protocol,ProtocolSpec,repetitions_per_condition,int,integer,scalar,,false,literal_or_constant,1,1,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,204
64,design.protocol.trial_pool_repetition_defaults,protocol,ProtocolSpec,trial_pool_repetition_defaults,"dict[str, float]",object,object,,false,factory,field(default_factory=dict),{},,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,205
65,design.protocol.soa_values_ms,protocol,ProtocolSpec,soa_values_ms,list[int],array[integer],array,ms,false,factory,"field(default_factory=lambda: [300, 800, 1500, 2200, 2700])","[300,800,1500,2200,2700]",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,206
66,design.protocol.spatial_values_cm,protocol,ProtocolSpec,spatial_values_cm,list[float],array[number],array,cm,false,factory,"field(default_factory=lambda: [100.0, 83.3, 60.0, 36.7, 20.0])","[100.0,83.3,60.0,36.7,20.0]",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,207
67,design.protocol.pair_spatial_values_with_soas,protocol,ProtocolSpec,pair_spatial_values_with_soas,bool,boolean,scalar,,false,literal_or_constant,True,true,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,208
68,design.protocol.auditory_motion_directions,protocol,ProtocolSpec,auditory_motion_directions,list[str],array[string],array,,false,factory,field(default_factory=lambda: ['looming']),"[""looming""]",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,209
69,design.protocol.tactile_sites,protocol,ProtocolSpec,tactile_sites,list[str],array[string],array,,false,factory,field(default_factory=lambda: ['hand']),"[""hand""]",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,210
70,design.protocol.include_catch_trials,protocol,ProtocolSpec,include_catch_trials,bool,boolean,scalar,,false,literal_or_constant,True,true,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,211
71,design.protocol.catch_trial_percentage,protocol,ProtocolSpec,catch_trial_percentage,float,number,scalar,percent,false,literal_or_constant,10.0,10.0,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,212
72,design.protocol.catch_trials_exact,protocol,ProtocolSpec,catch_trials_exact,int | None,integer|null,scalar,,false,literal_or_constant,None,null,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,213
73,design.protocol.catch_crosses_sequence_variants,protocol,ProtocolSpec,catch_crosses_sequence_variants,bool,boolean,scalar,,false,literal_or_constant,True,true,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,214
74,design.protocol.include_auditory_only_trials,protocol,ProtocolSpec,include_auditory_only_trials,bool,boolean,scalar,,false,literal_or_constant,False,false,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,215
75,design.protocol.auditory_only_trial_percentage,protocol,ProtocolSpec,auditory_only_trial_percentage,float,number,scalar,percent,false,literal_or_constant,0.0,0.0,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,216
76,design.protocol.auditory_only_trials_exact,protocol,ProtocolSpec,auditory_only_trials_exact,int | None,integer|null,scalar,,false,literal_or_constant,None,null,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,217
77,design.protocol.auditory_only_crosses_sequence_variants,protocol,ProtocolSpec,auditory_only_crosses_sequence_variants,bool,boolean,scalar,,false,literal_or_constant,True,true,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,218
78,design.protocol.include_baseline_trials,protocol,ProtocolSpec,include_baseline_trials,bool,boolean,scalar,,false,literal_or_constant,True,true,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,219
79,design.protocol.baseline_strategy,protocol,ProtocolSpec,baseline_strategy,str,string,scalar,,false,literal_or_constant,'tactile_only',"""tactile_only""",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,220
80,design.protocol.baseline_trials_exact,protocol,ProtocolSpec,baseline_trials_exact,int | None,integer|null,scalar,,false,literal_or_constant,None,null,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,221
81,design.protocol.baseline_trial_percentage,protocol,ProtocolSpec,baseline_trial_percentage,float,number,scalar,percent,false,literal_or_constant,0.0,0.0,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,222
82,design.protocol.baseline_soa_values_ms,protocol,ProtocolSpec,baseline_soa_values_ms,list[int],array[integer],array,ms,false,factory,field(default_factory=list),[],,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,223
83,design.protocol.baseline_custom_trial_mode,protocol,ProtocolSpec,baseline_custom_trial_mode,str,string,scalar,,false,literal_or_constant,'tactile_only',"""tactile_only""",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,224
84,design.protocol.baseline_crosses_sequence_variants,protocol,ProtocolSpec,baseline_crosses_sequence_variants,bool,boolean,scalar,,false,literal_or_constant,True,true,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,225
85,design.protocol.respiratory_phases,protocol,ProtocolSpec,respiratory_phases,list[str],array[string],array,,false,factory,"field(default_factory=lambda: ['Inhale', 'Exhale'])","[""Inhale"",""Exhale""]",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,226
86,design.protocol.blocks,protocol,ProtocolSpec,blocks,int,integer,scalar,,false,literal_or_constant,6,6,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,227
87,design.protocol.block_specs[].label,block_specs,BlockSpec,label,str,string,scalar,,true,required,,,design.protocol.block_specs[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"BlockSpec(**item), with string-label shorthand accepted",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,141
88,design.protocol.block_specs[].stimulus_types,block_specs,BlockSpec,stimulus_types,list[str],array[string],array,,false,factory,field(default_factory=lambda: list(DEFAULT_BLOCK_STIMULUS_TYPES)),"[""Audio-Tactile"",""Baseline"",""Catch""]",design.protocol.block_specs[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"BlockSpec(**item), with string-label shorthand accepted",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,142
89,design.protocol.repeat_trial_pool_per_block,protocol,ProtocolSpec,repeat_trial_pool_per_block,bool,boolean,scalar,,false,literal_or_constant,False,false,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,229
90,design.protocol.distribute_trial_pool_across_blocks,protocol,ProtocolSpec,distribute_trial_pool_across_blocks,bool,boolean,scalar,,false,literal_or_constant,False,false,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,230
91,design.protocol.trial_strips[].strip_id,trial_strips,TrialStripSpec,strip_id,str,string,scalar,,false,literal_or_constant,'',"""""",design.protocol.trial_strips[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,_trial_strip_specs_from_dicts; numeric-list and optional-float normalization,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,158
92,design.protocol.trial_strips[].label,trial_strips,TrialStripSpec,label,str,string,scalar,,false,literal_or_constant,'',"""""",design.protocol.trial_strips[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,_trial_strip_specs_from_dicts; numeric-list and optional-float normalization,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,159
93,design.protocol.trial_strips[].audio_tactile_percentage,trial_strips,TrialStripSpec,audio_tactile_percentage,float | None,number|null,scalar,percent,false,literal_or_constant,None,null,design.protocol.trial_strips[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,_trial_strip_specs_from_dicts; numeric-list and optional-float normalization,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,160
94,design.protocol.trial_strips[].catch_percentage,trial_strips,TrialStripSpec,catch_percentage,float | None,number|null,scalar,percent,false,literal_or_constant,None,null,design.protocol.trial_strips[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,_trial_strip_specs_from_dicts; numeric-list and optional-float normalization,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,161
95,design.protocol.trial_strips[].baseline_percentage,trial_strips,TrialStripSpec,baseline_percentage,float | None,number|null,scalar,percent,false,literal_or_constant,None,null,design.protocol.trial_strips[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,_trial_strip_specs_from_dicts; numeric-list and optional-float normalization,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,162
96,design.protocol.trial_strips[].soa_values_ms,trial_strips,TrialStripSpec,soa_values_ms,list[int],array[integer],array,ms,false,factory,field(default_factory=list),[],design.protocol.trial_strips[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,_trial_strip_specs_from_dicts; numeric-list and optional-float normalization,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,163
97,design.protocol.trial_strips[].spatial_values_cm,trial_strips,TrialStripSpec,spatial_values_cm,list[float],array[number],array,cm,false,factory,field(default_factory=list),[],design.protocol.trial_strips[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,_trial_strip_specs_from_dicts; numeric-list and optional-float normalization,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,164
98,design.protocol.trial_strips[].metadata,trial_strips,TrialStripSpec,metadata,"dict[str, Any]",object,object,,false,factory,field(default_factory=dict),{},design.protocol.trial_strips[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,_trial_strip_specs_from_dicts; numeric-list and optional-float normalization,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,165
99,design.protocol.trial_strips[].elements[].element_id,trial_strip_elements,TrialStripElementSpec,element_id,str,string,scalar,,false,literal_or_constant,'',"""""",design.protocol.trial_strips[] | design.protocol.trial_strips[].elements[],2,true,true,peripersonal_space_toolkit.design.design_from_dict,"TrialStripElementSpec(**element), followed by source-label normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,147
100,design.protocol.trial_strips[].elements[].kind,trial_strip_elements,TrialStripElementSpec,kind,str,string,scalar,,false,literal_or_constant,'looming_stimulus',"""looming_stimulus""",design.protocol.trial_strips[] | design.protocol.trial_strips[].elements[],2,true,true,peripersonal_space_toolkit.design.design_from_dict,"TrialStripElementSpec(**element), followed by source-label normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,148
101,design.protocol.trial_strips[].elements[].label,trial_strip_elements,TrialStripElementSpec,label,str,string,scalar,,false,literal_or_constant,'',"""""",design.protocol.trial_strips[] | design.protocol.trial_strips[].elements[],2,true,true,peripersonal_space_toolkit.design.design_from_dict,"TrialStripElementSpec(**element), followed by source-label normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,149
102,design.protocol.trial_strips[].elements[].source_label,trial_strip_elements,TrialStripElementSpec,source_label,str,string,scalar,,false,literal_or_constant,'',"""""",design.protocol.trial_strips[] | design.protocol.trial_strips[].elements[],2,true,true,peripersonal_space_toolkit.design.design_from_dict,"TrialStripElementSpec(**element), followed by source-label normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,150
103,design.protocol.trial_strips[].elements[].source_labels,trial_strip_elements,TrialStripElementSpec,source_labels,list[str],array[string],array,,false,factory,field(default_factory=list),[],design.protocol.trial_strips[] | design.protocol.trial_strips[].elements[],2,true,true,peripersonal_space_toolkit.design.design_from_dict,"TrialStripElementSpec(**element), followed by source-label normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,151
104,design.protocol.trial_strips[].elements[].jitter_values_ms,trial_strip_elements,TrialStripElementSpec,jitter_values_ms,list[int],array[integer],array,ms,false,factory,field(default_factory=list),[],design.protocol.trial_strips[] | design.protocol.trial_strips[].elements[],2,true,true,peripersonal_space_toolkit.design.design_from_dict,"TrialStripElementSpec(**element), followed by source-label normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,152
105,design.protocol.trial_strips[].elements[].randomized,trial_strip_elements,TrialStripElementSpec,randomized,bool,boolean,scalar,,false,literal_or_constant,False,false,design.protocol.trial_strips[] | design.protocol.trial_strips[].elements[],2,true,true,peripersonal_space_toolkit.design.design_from_dict,"TrialStripElementSpec(**element), followed by source-label normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,153
106,design.protocol.trial_randomization_strategy,protocol,ProtocolSpec,trial_randomization_strategy,str,string,scalar,,false,literal_or_constant,'no_immediate_repeats',"""no_immediate_repeats""",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,232
107,design.protocol.block_order_randomization,protocol,ProtocolSpec,block_order_randomization,str,string,scalar,,false,literal_or_constant,'counterbalanced_rotation',"""counterbalanced_rotation""",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,233
108,design.protocol.max_consecutive_same_trial_type,protocol,ProtocolSpec,max_consecutive_same_trial_type,int,integer,scalar,,false,literal_or_constant,2,2,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,234
109,design.protocol.participants,protocol,ProtocolSpec,participants,int,integer,scalar,,false,literal_or_constant,50,50,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,235
110,design.protocol.random_seed,protocol,ProtocolSpec,random_seed,int,integer,scalar,,false,literal_or_constant,20250604,20250604,,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,236
111,design.protocol.participant_order_policy,protocol,ProtocolSpec,participant_order_policy,"dict[str, Any]",object,object,,false,factory,field(default_factory=dict),{},,0,true,true,peripersonal_space_toolkit.design.design_from_dict,ProtocolSpec(**protocol_data); catch/audio-only inclusion may be inferred when omitted,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,237
